File,TITLE,AUTHOR,Gender (manual),DATE,PUBPLACE,PUBLISHER,DLPS,ESTC,DocNo,TCP,GaleDocNo
unedited_hdrs.ecco,"Zara. A tragedy: By Aaron Hill, Esq. Adapted for theatrical representation, as performed at the Theatres-Royal, Drury-Lane and Covent-Garden. Regulated from the prompt-books, ...","Voltaire, 1694-1778.",male,1791.,London :,"printed for the proprietors, under the direction of John Bell,",004831453,T52913,CW109730748,K047669.000,CW3309730748
unedited_hdrs.ecco,"The Italian: or the confessional of the black penitents. A romance. By Ann Radcliffe, ... In three volumes. ...","Radcliffe, Ann Ward, 1764-1823.",female,1797.,London :,"printed for T. Cadell Jun. and W. Davies (successors to Mr. Cadell),",004837677,T62064,CW111650033,K053904.001,CW3311650033
unedited_hdrs.ecco,"Better late than never: a comedy. In five acts. As performed at the Theatre-Royal Drury-Lane. By Miles Peter Andrews, Esq.","Andrews, Miles Peter, d. 1814.",male,1790.,London :,"printed for J. Ridgway,",004796916,T2447,CW110780893,K021508.000,CW3310780893
unedited_hdrs.ecco,"The Italian: or the confessional of the black penitents. A romance. By Ann Radcliffe, ... In three volumes. ...","Radcliffe, Ann Ward, 1764-1823.",female,1797.,London :,"printed for T. Cadell Jun. and W. Davies (successors to Mr. Cadell),",004837677,T62064,CW111650033,K053904.003,CW3311650382
unedited_hdrs.ecco,"A tour in Switzerland: or, a view of the present state of the governments and manners of those cantons: with comparative sketches of the present state of Paris. By Helen Maria Williams. ...","Williams, Helen Maria, 1762-1827.",female,1798.,London :,"printed for G. G. and J. Robinson,",004843690,T70499,CW100786420,K059928.002,CW3301502795
unedited_hdrs.ecco,"The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ...","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",male,1793.,London :,"printed for A. Strahan, and T. Cadell; and J. Murray,",004893396,T139140,CW109028249,K109756.005,CW3309873835
unedited_hdrs.ecco,"The Jew: a comedy. Performed at the Theatre-Royal, Drury-Lane. By Richard Cumberland, Esq.","Cumberland, Richard, 1732-1811.",male,1794.,London :,"printed for C. Dilly,",004900009,T45425,CW112460562,K043180.000,CW3312460562
unedited_hdrs.ecco,"Letters from America, historical and descriptive; comprising occurrences from 1769, to 1777, inclusive. By William Eddis,:","Eddis, William, 1738-1825.",male,1792.,London :,"printed for the author, and sold by C. Dilly,",004805334,T38484,CW104638755,K039108.000,CW3304638755
unedited_hdrs.ecco,"A tour in Switzerland: or, a view of the present state of the governments and manners of those cantons: with comparative sketches of the present state of Paris. By Helen Maria Williams. ...","Williams, Helen Maria, 1762-1827.",female,1798.,London :,"printed for G. G. and J. Robinson,",004843690,T70499,CW100786420,K059928.001,CW3300786420
unedited_hdrs.ecco,"The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ...","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",male,1793.,London :,"printed for A. Strahan, and T. Cadell; and J. Murray,",004893396,T139140,CW109028249,K109756.006,CW3309599965
unedited_hdrs.ecco,"The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ...","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",male,1793.,London :,"printed for A. Strahan, and T. Cadell; and J. Murray,",004893396,T139140,CW109028249,K109756.007,CW3309362782
unedited_hdrs.ecco,"Free reflections on miscellaneous papers and legal instruments, under the hand and seal of William Shakspeare, in the possession of Samuel Ireland, of Norfolk-Street. To which are added, extracts from an unpublished MS. play, called The virgin queen.:","Waldron, F. G. (Francis Godolphin), 1744-1818.",initials,1796.,London :,"printed for F. G. Waldron,",004809599,T6259,CW113391693,K023426.000,CW3313391693
unedited_hdrs.ecco,"Cheap living: a comedy, in five acts. As it is performed at the Theatre-Royal, Drury-Lane. Third edition. By Frederick Reynolds.","Reynolds, Frederick, 1764-1841.",male,1797.,London :,"printed for G. G. and J. Robinson,",004794416,T18527,CW114470527,K029302.000,CW3314470527
unedited_hdrs.ecco,The tailors. A tragedy for warm weather: in three acts. As performed at the Theatre Royal Hay-Market. ...,"Foote, Samuel, 1720-1777.",male,1794.,London :,"printed by J. Jarvis, for J. Parsons,",004815961,T172822,CW106663492,K120072.000,CW3306663492
unedited_hdrs.ecco,"Zoonomia: or, the laws of organic life. ... By Erasmus Darwin, ...","Darwin, Erasmus, 1731-1802.",male,1794-96.,London :,"printed for J. Johnson,",004874881,T113901,CW109312786,K091186.002,CW3309564210
unedited_hdrs.ecco,"The poems, of the late Christopher Smart, ... Consisting of his prize poems, odes, sonnets, and fables, Latin and English translations;:","Smart, Christopher, 1722-1771.",male,1791.,Reading :,"printed and sold by Smart and Cowslade; and sold by F. Power and Co., London,",004808042,T42617,CW110609454,K041573.002,CW3310609712
unedited_hdrs.ecco,"An appeal from the new to the old Whigs: in consequence of some late discussions in Parliament, relative to the Reflections on the French revolution.","Burke, Edmund, 1729-1797.",male,1791.,London :,"printed for J. Dodsley,",004796333,T22257,CW106146734,K030945.000,CW3306146734
unedited_hdrs.ecco,"The beauties of biography: a selection of the lives of eminent men, carefully digested from correct and approved publications; ... Illustrated with several heads, ...",,unsigned,1792.,London :,"printed for G. Riebau,",004896229,T144686,CW102276200,K112609.002,CW3302276542
unedited_hdrs.ecco,"Blue-beard: or, female curiosity! A dramatick romance; first represented at the Theatre Royal Drury-Lane, on Tuesday January 16, 1798. Written by George Colman, the younger.","Colman, George, 1762-1836.",male,1798.,London :,"printed by T. Woodfall, for Messrs Cadell and Davies,",004795439,T20761,CW110145097,K030149.000,CW3310145097
unedited_hdrs.ecco,"Essays on men and manners: By William Shenstone, Esq. In one volume.","Shenstone, William, 1714-1763.",male,1794.,London :,"printed for J. Parsons,",004860194,T94736,CW117648366,K076469.001,CW3317648366
unedited_hdrs.ecco,"Memoirs: of the first forty-five years of the life of James Lackington, the present bookseller in Chiswell-street, Moorfields, London. Written by himself. In a series of letters to a friend. ...","Lackington, James, 1746-1815.",male,[1791],London :,"printed for and sold by the author; W. Bulgin, Bristol; and all other booksellers,",004846562,T74538,CW101709574,K062810.000,CW3301709574
unedited_hdrs.ecco,"The poems, of the late Christopher Smart, ... Consisting of his prize poems, odes, sonnets, and fables, Latin and English translations;:","Smart, Christopher, 1722-1771.",male,1791.,Reading :,"printed and sold by Smart and Cowslade; and sold by F. Power and Co., London,",004808042,T42617,CW110609454,K041573.001,CW3310609454
unedited_hdrs.ecco,"Heigho for a husband!: A comedy. As performed at the Theatre-Royal, in the Hay-Market, on Tuesday, January 14, 1794.","Waldron, F. G. (Francis Godolphin), 1744-1818.",initials,1794.,London :,"printed for T. Arrowsmith; and sold by B. Crosby,",004787613,N7264,CW108388995,K004364.000,CW3308388995
unedited_hdrs.ecco,"The family party; a comic piece, in two acts, as acted at the Theatre Royal, Haymarket:","Colman, George, 1762-1836.",male,1789.,London :,"printed for J. Debrett,",004809967,T788,CW114507416,K020304.000,CW3314507416
unedited_hdrs.ecco,"The revenge, a burletta; acted at Marybone Gardens, MDCCLXX. With additional songs. By Thomas Chatterton:","Chatterton, Thomas, 1752-1770.",male,1795.,London :,"printed by C. Roworth; for T. King; H. Chapman; and J. Egerton,",004899722,T44863,CW113683287,K042893.000,CW3313683287
unedited_hdrs.ecco,"Letters written in France: in the Summer 1790, to a friend in England; containing, various anecdotes relative to the French revolution; and memoirs of Mons. and Madame du F----. By Helen Maria Williams.","Williams, Helen Maria, 1762-1827.",female,1790.,London :,"printed for T. Cadell,",004858063,T91663,CW105215384,K074334.000,CW3305215384
unedited_hdrs.ecco,"The history and antiquities of the town and county of the town of Newcastle upon Tyne: including an account of the coal trade of that place and embellished with engraved views of the publick buildings, &c. ... By John Brand, ...","Brand, John, 1744-1806.",male,1789.,London :,"printed for B. White & Son, and T. & I. Egerton A.D.,",004896316,T144797,CW101315178,K112697.002,CW3301315894
unedited_hdrs.ecco,"The natural son: A comedy, by Richard Cumberland, Esq. Adapted for theatrical representation, as performed at the Theatres-Royal, Drury-Lane and Covent-Garden. Regulated from the prompt-books, by permission of the managers. ...","Cumberland, Richard, 1732-1811.",male,1792.,London :,"printed for the proprietors, under the direction of John Bell,",004776230,N19272,CW106498548,K011491.000,CW3306498548
