TCP,EEBO,VID,STC,Status,Author,Name 1,Name 2,Gender (manual),Name 3,Date,Title,Terms,Pages
K000343.000,,,,Free,"Alderson, John, 1757-1829.",Alderson, John,male, 1757-1829.,1794,"An essay on the rhus toxicodendron: pubescent poison oak, or sumach, with cases shewing it's efficacy in the cure of paralysis, ... By John Alderson, ...",,39
K000934.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1796,"The American crisis, and a letter to Sir Guy Carleton, on the murder of Captain Huddy, and the intended retaliation on Captain Asgill, of the Guards. By Thomas Paine,","Political participation -- United States; Political rights -- Great Britain; Great Britain -- Colonies; Great Britain -- Colonies -- America; United States -- History; Gage, Thomas, -- 171-1787; Dorchester, Guy Carleton, -- Baron, -- 1724-1808 -- Public opinion",295
K001133.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1795,"The carpenter: or, the danger of evil company.",,1
K002782.000,,,,Free,"Squirrell, R. (Robert)",Squirrell, R. (Robert), R. (Robert),,1798,"Maxims of health: or, an abridgment of An essay on indigestion: containing advice to persons afflicted with indigestion nervous, bilious & gouty disorders head ach [sic] female complaints worms &c. Also remarks on sea and cold bathing, the effects of sea air, &c. By R. Squirrell, M.D.; Essay on indigestion.",,71
K002867.000,,,,Free,"Holcroft, Thomas, 1745-1809.",Holcroft, Thomas,male, 1745-1809.,1796,"The man of ten thousand: a comedy. As it is acted at the Theatre-Royal, Drury-Lane. The second edition. By Thomas Holcroft.",,90
K002919.000,,,,Free,"Hume, David, 1711-1776.",Hume, David,male, 1711-1776.,1795,"Letter from David Hume, Esq. to the author of The delineation of the nature and obligation of morality",,5
K003605.000,,,,Free,"Lewis, M. G. (Matthew Gregory), 1775-1818.",Lewis, M. G. (Matthew Gregory),male, 1775-1818.,1799,"The love of gain: a poem. Imitated from the thirteenth satire of Juvenal. By M. G. Lewis, ...",,49
K004143.000,,,,Free,"Murray, James, 1732-1782.",Murray, James,male, 1732-1782.,1797,"The fast, a poem: translated from the prophet Isaiah. By the Rev. James Murray.",,27
K004299.000,,,,Free,"Darwin, Erasmus, 1731-1802.",Darwin, Erasmus,male, 1731-1802.,1794,"The golden age, a poetical epistle: from Erasmus D-n, M.D. to Thomas Beddoes, M.D.",,14
K004879.000,,,,Free,"Home, Everard, Sir, 1756-1832.",Home, Everard, Everard," Sir, 1756-1832.",1796,"Experiments and observations on the blood when mixed with urine: By Everard Home, Esq. F.R.S. ...",,8
K004915.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1790,"The divine model: or, Christian's exemplar. To which is added, The dram-shop.",,22
K005477.000,,,,Free,"Thelwall, John, 1764-1834.",Thelwall, John,male, 1764-1834.,1793,"An essay towards a definition of animal vitality: read at the theatre, Guy's Hospital, January 26, 1793; in which several of the opinions of the celebrated John Hunter are examined and controverted. By John Thelwall, ...",,44
K006240.000,,,,Free,"Dibdin, Charles, 1745-1814.",Dibdin, Charles,male, 1745-1814.,1795,Ode in honour of the nuptials of Their Royal Highnesses the Prince and Princess of Wales: written and composed by Mr. Dibdin.,,23
K006382.001,,,,Free,"Spence, Thomas, 1750-1814.",Spence, Thomas,male, 1750-1814.,1795,"Pigs' meat; or, lessons for the swinish multitude: Published in weekly penny numbers, collected by the poor man's advocate (an old veteran in the cause of freedom) in the course of his reading for more than twenty years. Intended to promote among the labouring part of mankind proper ideas of their situation, of their importance, and of their rights. And to convince them that their forlorn condition has not been entirely overlooked and forgotten, nor their just cause unpleaded, neither by their maker not by the best and most enlightened of men in all ages.",Poor -- Law and legislation -- Great Britain; Political rights -- Great Britain; Great Britain -- Politics and government; Protest literature -- 18th century. -- England; Periodicals -- 18th century. -- England,289
K006382.002,,,,Free,"Spence, Thomas, 1750-1814.",Spence, Thomas,male, 1750-1814.,1795,"Pigs' meat; or, lessons for the swinish multitude: Published in weekly penny numbers, collected by the poor man's advocate (an old veteran in the cause of freedom) in the course of his reading for more than twenty years. Intended to promote among the labouring part of mankind proper ideas of their situation, of their importance, and of their rights. And to convince them that their forlorn condition has not been entirely overlooked and forgotten, nor their just cause unpleaded, neither by their maker not by the best and most enlightened of men in all ages.",Poor -- Law and legislation -- Great Britain; Political rights -- Great Britain; Great Britain -- Politics and government; Protest literature -- 18th century. -- England; Periodicals -- 18th century. -- England,289
K006500.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1792,"Letter of Thomas Paine, to the people of France: Published and distributed gratis by the London Corresponding Society.; Lettre de Thomas Paine au peuple françois. English",,7
K006534.000,,,,Free,"Latham, John, 1761-1843.",Latham, John,male, 1761-1843.,1796,"On rheumatism, and gout: a letter addressed to Sir George Baker, ... By John Latham, M.D. ...",,79
K007216.000,,,,Free,"Kemble, John Philip, 1757-1823.",Kemble, John Philip, John Philip, 1757-1823.,1789,"The pannel: As altered by J. P. Kemble. From Bickerstaff's translation of Calderon's El escondido y la trapada; and first acted at the Theatre Royal in Drury Lane, November 28th, 1788.",,52
K007219.000,,,,Free,"Hoare, Prince, 1755-1834.",Hoare, Prince,male, 1755-1834.,1793,"The prize: or, 2, 5, 3, 8, a musical farce in two acts, as performed by His Majesty's company. Written by Prince Hoare, Esq. The music by Storace. Correctly taken from the manager's book.",,43
K007507.000,,,,Free,"Dibdin, Charles, 1745-1814.",Dibdin, Charles,male, 1745-1814.,1796,"Proposals for publishing by subscription, dedicated, with permission, to the most noble the Marquis of Salisbury, A complete history of the English stage ... The whole written, with the asistance of interesting documents, collected in the course of five and thirty years, by Mr. Dibdin; Complete history of the English stage.",,4
K007545.000,,,,Free,"Lennox, Charlotte, ca. 1729-1804.; Boswell, James, 1740-1795.",Lennox, Charlotte,female," ca. 1729-1804.; Boswell, James, 1740-1795.",1796,Proposals for publishing a new and improved edition of Shakspeare illustrated. By Charlotte Lennox,,1
K007960.000,,,,Free,"Murphy, Arthur, 1727-1805.",Murphy, Arthur,male, 1727-1805.,1793,"The rival sisters: A tragedy. Adapted for theatrical representation, as performed at the Theatre-Royal, Drury-Lane. Regulated from the prompt-book, ...",,70
K008158.001,,,,Free,"Radcliffe, Ann Ward, 1764-1823.",Radcliffe, Ann Ward,female, 1764-1823.,1792,"The romance of the forest: interspersed with some pieces of poetry. By the authoress of ""A Sicilian romance,"" &c. In two volumes. ...",,288
K008158.002,,,,Free,"Radcliffe, Ann Ward, 1764-1823.",Radcliffe, Ann Ward,female, 1764-1823.,1792,"The romance of the forest: interspersed with some pieces of poetry. By the authoress of ""A Sicilian romance,"" &c. In two volumes. ...",,335
K008390.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1799,'Tis all for the best,,16
K008430.000,,,,Free,"Brown, Charles, fl. 1797-1799.",Brown, Charles,male, fl. 1797-1799.,1798,A treatise on scrophulous diseases: shewing the good effects of factitious airs: ... By Charles Brown.,,164
K008591.000,,,,Free,"Garrick, David, 1717-1779.",Garrick, David,male, 1717-1779.,1797,"To Mr. Gray, on his odes",,2
K008784.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1795,The two shoemakers: in five parts.,,59
K008839.000,,,,Free,"Burke, Edmund, 1729-1797.",Burke, Edmund,male, 1729-1797.,1791,"Two letters from the Right Honourable Mr. Burke, on the French Revolution: one to the translator of his Reflections on the revolution in France; the other to Captain W-, on the same subject.",,20
K009421.000,,,,Free,"Radcliffe, Ann Ward, 1764-1823.",Radcliffe, Ann Ward,female, 1764-1823.,1789,The castles of Athlin and Dunbayne: A Highland story.,,294
K009548.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1796,Black Giles the poacher: with some account of a family who had rather live by their wits than their work. Part I.; Black Giles the poacher.,,15
K011654.000,,,,Free,"Sheridan, Richard Brinsley, 1751-1816.",Sheridan, Richard Brinsley,male, 1751-1816.,1789,A letter to the most insolent man alive,,31
K011684.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1792,"A letter to Lord Onslow: as chairman of the meeting at Epsom, June 18, 1792, convened to address His Majesty on the late proclamation. By Thomas Paine.",,7
