TITLE,AUTHOR,DATE,PUBPLACE,PUBLISHER,DLPS,ESTC,DocNo,TCP,GaleDocNo
"The observer: being a collection of moral, literary and familiar essays. ...","Cumberland, Richard, 1732-1811.",1786-90.,London :,"printed for C. Dilly,",004877346,T116942,CW113465844,K093660.002,CW3313466145
"Reasons humbly offered by the Company exercising the trade and mystery of upholders: against part of the bill for the better viewing, searching, and examining drugs, medicines, &c.","Arbuthnot, John, 1667-1735.",1724.,London :,"printed in the year,",004900609,T46417,CW107998902,K043780.000,CW3307998902
"Liberal opinions, upon animals, man, and providence: In which are introduced, Anecdotes of a gentleman. ... By Courtney Melmoth. ...","Pratt, Mr. (Samuel Jackson), 1749-1814.",1775-77.,London :,"printed for G. Robinson, and J. Bew; and sold by J. Walter,",004897843,T146992,CW121211391,K114226.004,CW3321212030
"The lover's treat: or, unnatural hatred: Being a true narrative ... Written by Mrs. Charke, ...","Charke, Charlotte, 1713-1760.",[1758?],London :,"printed and sold at Bailey's Printing-Office,",004842193,T68295,CW113772265,K058426.000,CW3313772265
"Peeping Tom, of Coventry: A comic opera. As it is performed at the Theatre-Royal, Smock-Alley. By John O'Keefe, Esq;.","O'Keeffe, John, 1747-1833.",1785.,Dublin :,"printed by John Smith,",004770890,N11183,CW109547855,K006726.000,CW3309547855
"Speech in the House of Commons, on Tuesday the 7th of March, 1786. By Philip Francis, Esq:","Francis, Philip, Sir, 1740-1818.",1786.,London :,"printed for J. Debrett,",004801777,T3265,CW105570969,K022018.000,CW3305570969
"Considerations on religion and public education: with remarks on the speech of M. Dupont, delivered in the National Convention of France. Together with an address to the ladies, &c. of Great Britain and Ireland. By Hannah More.","More, Hannah, 1745-1833.",MDCCXCIV. [1794],Printed at Boston :,"by Weld and Greenough. Sold at the Magazine office, no. 49, State Street,",004830930,W31094,CW121632674,K135651.000,CW3321632674
"Essays on suicide, and the immortality of the soul: ascribed to the late David Hume, Esq. Never before published. With remarks, intended as an antidote to the poison contained in these performances, by the editor. To which is added, two letters on suicide, from Rosseau's [sic] Eloisa.","Hume, David, 1711-1776.",1783.,London :,"printed for M. Smith; and sold by the booksellers in Piccadilly, Fleet-street, and Paternoster-row,",004780373,N2705,CW120931546,K001770.000,CW3320931546
"Observations on live stock: containing hints for choosing and improving the best breeds of the most useful kinds of domestic animals, by George Culley, ...","Culley, George, 1735-1813.",1786.,London :,"printed for G. G. J. & J. Robinson,",004888087,T131590,CW110369851,K104420.000,CW3310369851
"An account of the extraordinary medicinal fluid, called æther: By M. Turner, ...","Turner, Matthew, d. ca. 1788.",1761.,[Liverpool] :,"Printed by John Sadler,",004890736,T135342,CW109824259,K107077.000,CW3309824259
"Sketches of the history of man: In four volumes. By Henry Home, Lord Kaims, ...","Kames, Henry Home, Lord, 1696-1782.",1774-75.,Dublin :,"printed for James Williams,",004843629,T70420,CW117444894,K059867.003,CW3317445477
"Memoirs of his own life: by Tate Wilkinson, ... In four volumes. ...","Wilkinson, Tate, 1739-1803.",1790.,York :,"printed for the author, by Wilson, Spence, and Mawman; and sold by G. G. J. and J. Robinson; and T. and J. Egerton, London. Anno,",004887197,T130421,CW101728147,K103528.002,CW3301935496
