TITLE,AUTHOR,DATE,PUBPLACE,PUBLISHER,DLPS,ESTC,DocNo,TCP,GaleDocNo
"The mayor of Garret: A comedy, in two acts. As it is performed at the Theatre-Royal in Drury-Lane. By Samuel Foote, Esq;.","Foote, Samuel, 1720-1777.",1764.,London :,"printed for P. Vaillant,",004805725,T39069,CW113180968,K039493.000,CW3313180968
"The works of Alexander Pope Esq. In nine volumes complete. With his last corrections, additions, and improvements; ... Together with the commentaries and notes of Mr. Warburton:","Pope, Alexander, 1688-1744.",1751.,London :,"printed for J. and P. Knapton, H. Lintot, J. and R. Tonson, and S. Draper,",004809055,T5432,CW115091181,K022939.005,CW3315092466
"The true state of the case between the government and the creditors of the navy, &c: as it relates to the South-Sea-trade. And the justice of the transactions on either side impartially enquired into:","Defoe, Daniel, 1661?-1731.",1711.,London :,"printed, and sold by J. Baker,",004834144,T56993,CW104872072,K050361.000,CW3304872072
"The history of England: from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ...","Hume, David, 1711-1776.",1763.,London :,"printed for A. Millar,",004851124,T82469,CW100229577,K067385.001,CW3300229577
The minor: a comedy. Written by Mr. Foote. As it is now acting at the New Theatre in the Hay-Market. ...,"Foote, Samuel, 1720-1777.",1760.,London :,"printed, and sold by J. Coote; G. Kearsly; T. Davies; C. Etherington, York; W. Chace, Norwich; P. Wilson, Dublin; R. Fleming, Edinburgh; and all other booksellers,",004794434,T18544,CW109974141,K029318.000,CW3309974141
"The way of the world: a comedy. As it is acted at the Theatre in Lincolns-Inn-Fields, by His Majesty's servants. Written by Mr. Congreve.","Congreve, William, 1670-1729.",1706.,London :,"printed for Jacob Tonson; and sold by James Knapton, George Strahan, and Egbert Sanger,",004792342,T14531,CW113657092,K027499.000,CW3313657092
"The mock mourners: A satyr, by way of elegy on King William. By the author of The true-born Englishman.","Defoe, Daniel, 1661?-1731.",1702.,London :,"printed,",004843886,T70834,CW111934958,K060129.000,CW3311934958
"Essays and treatises: on several subjects. By David Hume, Esq; In four volumes. ...","Hume, David, 1711-1776.",1760.,London :,"printed for A. Millar; and A. Kincaid and A. Donaldson, at Edinburgh,",004802356,T33490,CW117566940,K036168.001,CW3317566940
The tears of Scotland:,"Smollett, Tobias George, 1721-1771.",1746?],"[Edinburgh?,",,004833168,T55393,CW112908801,K049384.000,CW3312908801
"Memoirs of the life of that learned antiquary, Elias Ashmole, Esq: drawn up by himself by way of diary. With an appendix of original letters. Publish'd by Charles Burman, Esq;.","Ashmole, Elias, 1617-1692.",1717.,London :,"printed for J. Roberts,",004840812,T66412,CW104027468,K057041.000,CW3304027468
"Zara. A tragedy: By Aaron Hill, Esq. Adapted for theatrical representation, as performed at the Theatres-Royal, Drury-Lane and Covent-Garden. Regulated from the prompt-books, ...","Voltaire, 1694-1778.",1791.,London :,"printed for the proprietors, under the direction of John Bell,",004831453,T52913,CW109730748,K047669.000,CW3309730748
"The history of the rebellion and civil wars in England: begun in the year 1641. ... Written by ... Edward Earl of Clarendon, ... Volume the second.","Clarendon, Edward Hyde, Earl of, 1609-1674.",1703.,Oxford :,"printed at the Theater, An. Dom.,",004789114,N9850,CW102758777,K005699.000,CW3302758777
"The Italian: or the confessional of the black penitents. A romance. By Ann Radcliffe, ... In three volumes. ...","Radcliffe, Ann Ward, 1764-1823.",1797.,London :,"printed for T. Cadell Jun. and W. Davies (successors to Mr. Cadell),",004837677,T62064,CW111650033,K053904.001,CW3311650033
"A letter to Mr. How, by way of reply to his considerations of the preface to An enquiry into the occasional conformity of dissenters. By the author of the said preface and Enquiry:","Defoe, Daniel, 1661?-1731.",1701.,London :,"printed in the year,",004834096,T56929,CW123349814,K050313.000,CW3323349814
"Verses to the people of England: 1758. By William Whitehead, ...","Whitehead, William, 1715-1785.",1758.,London :,"printed for R. and J. Dodsley; and sold by M. Cooper,",004783241,N37749,CW106031088,K017251.000,CW3306031088
"The school-master's guide: or, a complete system of practical arithmetic: adapted to the use of schools. ... The second edition. By Charles Hutton, ...","Hutton, Charles, 1737-1823.",1766.,Newcastle upon Tyne :,"printed by J. White and T. Saint, for R. Baldwin, London,",004818577,T182259,CW109360500,K122702.000,CW3309360500
Reformation of manners: a satyr.,"Defoe, Daniel, 1661?-1731.",1702.,[London] :,"Printed in the year,",004842136,T68176,CW109793608,K058369.000,CW3309793608
Harcourt: a sentimental novel. In a series of letters. By the authoress of Evelina. ...,"Burney, Fanny, 1752-1840.",1780.,Dublin :,"printed for C. Jackson. By J. and R. Byrn,",004894044,T140056,CW113641316,K110407.001,CW3313641316
Distress: A poetical essay. Humbly inscribed to the Right Honourable John Earl of Radnor. The second edition corrected and enlarged. By Mr. Arnold.,"Arnold, Cornelius, 1711-1757?",[1752?],London :,"printed for J. Swan,",004784504,N46119,CW113891699,K017922.000,CW3313891699
"Four essays: viz I. On making china ware in England, ... II. On a method for furnishing coals ... III. On the repairing of Dagenham, ... IV. On our English grapes, ... By a society of gentlemen.:","Hill, Aaron, 1685-1750.",1718.,London :,"printed for J. Roberts, and sold by R. Burleigh; and Thomas Corbett,",004840373,T65818,CW109179582,K056602.000,CW3309179582
"Odes: by Richard Cumberland, Esq;.","Cumberland, Richard, 1732-1811.",1776.,London :,"printed for J. Robson,",004807637,T42024,CW110214473,K041210.000,CW3310214473
