datefield,shelfmarks,title,publisher,edition,flickr_url_to_book_images,place,issuance,authors,identifier,corporate,date
1791,b'British Library HMNTS 644.k.23.(3.)',"b'No Abolition of Slavery; or, the Universal Empire of Love: a poem. [By James Boswell.]'",b'R. Faulder',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000007982',b'London',b'monographic',b'',b'000007982',b'',b'1791'
1799,b'British Library HMNTS 11647.f.44.(2.)',"b""Addisoni Epistola missa ex Italia\xcc\x82 ad illustrem Dominum Halifax, anno 1701. [A translation into Latin hexameter verse.] Auctore A. Murphy. (Addison's Letter to Lord Halifax.) Lat. & Eng,Miscellaneous Single Works""",b'F. & C. Rivington',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000018469',b'Londini',b'monographic',"b'contributor,creator'",b'000018469',b'',b'1799'
1790,"b'British Library HMNTS 11632.d.48.(2.),British Library HMNTS 992.k.27.(3.),British Library HMNTS 1508/379.(2.)'","b'Adriano; or, the first of June, a poem. By the author of The Village Curate [i.e. James Hurdis]'",b'J. Johnson',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000021430',b'London',b'monographic',b'contributor',b'000021430',b'',b'1790'
1795,"b'British Library HMNTS 644.k.24.(5.),British Library HMNTS 11641.h.11.(7.)'","b'The National Advocates, a poem. Affectionately inscribed to the Honourable Thomas Erskine and Vicary Gibbs, Esquire [in praise of their exertions in defence of Thomas Hardy, Horne Tooke and others]. [By William Hayley.]'",b'J. Debrett',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000022105',b'London',b'monographic',b'contributor',b'000022105',b'',b'1795'
1791,b'British Library HMNTS 644.k.23.(7.)',"b'Epistle to William Wilberforce, Esq., on the rejection of the Bill for abolishing the Slave Trade. [In verse.]'",b'J. Johnson',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000033755',b'London',b'monographic',b'creator',b'000033755',b'',b'1791'
1792,b'British Library HMNTS 994.h.4.',b'[Poems.]',b'Joseph Johnson',"b'A new edition, corrected. To which is added, An Epistle to William Wilberforce, Esq.'",b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000033798',b'London',b'monographic',b'creator',b'000033798',b'',b'1792'
1791,"b'British Library HMNTS 992.h.33.,British Library HMNTS 81.a.8.'",b'Poems',b'J. Johnson',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000033897',b'London',b'monographic',b'creator',b'000033897',b'',b'1791'
1799,"b'British Library HMNTS 994.i.1.,British Library HMNTS RF.2004.a.50'","b'Poems, &c. &c. [Edited by Joanna Hughes.]'",b'C. Dilly',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000043252',b'London',b'monographic',"b'contributor,creator'",b'000043252',b'',b'1799'
1799,"b'British Library HMNTS 643.g.5.(1.),British Library HMNTS 161.g.1.'","b""Fortune's Frolic: a farce, etc""",b'James Ridgway',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000058180',b'London',b'monographic',b'creator',b'000058180',b'',b'1799'
1790,b'British Library HMNTS 643.h.7.(5.)',"b'Better Late than Never. A comedy. In five acts, etc'",b'J. Ridgway',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000085148',b'London',b'monographic',b'creator',b'000085148',b'',b'1790'
1795,b'British Library HMNTS 643.h.7.(6.)',"b'The Mysteries of the Castle: a dramatic tale, in three acts, etc'",b'T. N. Longman',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000085159',b'London',b'monographic',b'creator',b'000085159',b'',b'1795'
1793,b'British Library HMNTS 11641.cc.6.',"b'Poems on Several Subjects ... To which are added, The Epistle of Yarico to Inkle; and the English and Latin songs of Chevy Chase'",b'Printed for the Author',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000089933',b'Dublin',b'monographic',b'creator',b'000089933',b'',b'1793'
1793,b'British Library HMNTS 992.h.22.(4.)',b'The Poems of Anna Maria',b'Thomson & Ferris',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000090336',b'Calcutta',b'monographic',b'',b'000090336',b'',b'1793'
1795,b'British Library HMNTS 644.k.24.(7.)',"b""The Farmer's Daughter, a poetical tale""",b'T. Cadell Junr. & Wm. Davies',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000093051',b'London',b'monographic',b'creator',b'000093051',b'',b'1795'
1794,b'British Library HMNTS 643.f.2.(4.)',"b'Songs, Choruses, &c. in The Apparition! A musical dramatic romance, in two acts [by J. C. Cross], etc'",b'J. Barker',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000099576',b'London',b'monographic',b'contributor',b'000099576',b'',b'1794'
1793,"b'British Library HMNTS 11643.cc.5.,British Library HMNTS RB.23.a.6407.'",b'Archery; a poem. (The General Deluge: a poem.-Georgics; in two parts: a poetical essay on agriculture.)',b'',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000105594',b'Printed for the Author',b'monographic',b'',b'000105594',b'',b'1793'
1795,b'British Library HMNTS 11649.f.18.(2.)',b'Aristocracy. An epic poem',b'The Editor',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000110924',b'Philadelphia',b'monographic',b'',b'000110924',b'',b'1795'
1791,b'British Library HMNTS 644.k.23.(4.)',"b'The Fruits of Faction; a series of pictures, taken from regenerated France. [A poem.] By Arno'",b'J. Bell',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000118782',b'London',b'monographic',b'',b'000118782',b'',b'1791'
1791,b'British Library HMNTS 11779.c.25.',"b'[Redemption: a sacred oratorio, selected from the ... works of Mr. Handel, by S. Arnold.]'",b'John Bell',b'[Another edition.]',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000120039',b'London',b'monographic',b'creator',b'000120039',b'',b'1791'
1789,b'British Library HMNTS 643.e.17.(11.)',"b'The Triumph of Truth; a sacred oratorio, selected from the works of ... Handel, Purcel, Dr. Arne, Correlli, Iomelli, Sacchini, and Haydn. By S. Arnold, etc'",b'J. Bell',b'',b'http://www.flickr.com/photos/britishlibrary/tags/sysnum000120040',b'London',b'monographic',b'creator',b'000120040',b'',b'1789'
