DLPS,ESTC,DocNo,TCP,GaleDocNo
004877346,T116942,CW113465844,K093660.002,CW3313466145
004900609,T46417,CW107998902,K043780.000,CW3307998902
004897843,T146992,CW121211391,K114226.004,CW3321212030
004842193,T68295,CW113772265,K058426.000,CW3313772265
004770890,N11183,CW109547855,K006726.000,CW3309547855
004801777,T3265,CW105570969,K022018.000,CW3305570969
004830930,W31094,CW121632674,K135651.000,CW3321632674
004780373,N2705,CW120931546,K001770.000,CW3320931546
004888087,T131590,CW110369851,K104420.000,CW3310369851
004890736,T135342,CW109824259,K107077.000,CW3309824259
004843629,T70420,CW117444894,K059867.003,CW3317445477
004887197,T130421,CW101728147,K103528.002,CW3301935496
004803506,T35438,CW110245178,K037302.000,CW3310245178
004843899,T70851,CW100650147,K060142.003,CW3300650949
004897260,T146144,CW101936451,K113641.002,CW3301936451
004873660,T112342,CW106723587,K089963.000,CW3306723587
004852197,T83949,CW110148032,K068460.000,CW3310148032
004829979,W8587,CW107688218,K133430.000,CW3307688218
004777091,N20859,CW108567223,K012240.000,CW3308567223
004845582,T73130,CW109732955,K061830.000,CW3309732955
004840465,T65958,CW101703459,K056694.000,CW3301703459
004809281,T5693,CW105050439,K023149.000,CW3305050439
004893786,T139692,CW112576476,K110146.000,CW3312576476
004874417,T113281,CW100581932,K090722.000,CW3300581932
004877991,T117671,CW103720346,K094305.002,CW3303720472
004809143,T5529,CW112480308,K023021.000,CW3312480308
004807320,T41553,CW107118725,K040928.000,CW3307118725
004863369,T99006,CW106408718,K079648.000,CW3306408718
004796053,T21796,CW111074450,K030677.000,CW3311074450
004861573,T96670,CW104916822,K077850.000,CW3304916822
004771210,N11676,CW109783604,K007022.000,CW3309783604
004878235,T117967,CW114215950,K094550.002,CW3314216275
004894986,T141578,CW120137304,K111361.000,CW3320137304
004796038,T21743,CW115366681,K030667.000,CW3315366681
004827525,T224552,CW109397067,K131806.000,CW3309397067
004777325,N2120,CW109542864,K001382.000,CW3309542864
004899540,T44546,CW113788839,K042710.000,CW3313788839
004807815,T42262,CW120918261,K041371.002,CW3321064665
004827535,T224568,CW107696075,K131816.000,CW3307696075
004821689,T194206,CW114084430,K125843.000,CW3314084430
004900356,T46011,CW116667405,K043527.000,CW3316667405
004787540,N7154,CW116871934,K004299.000,CW3316871934
