Document Title,Content Type,Document Types,Publication Title,Publication Date,Publisher,Place of Publication,Author,Source Library,Gale Primary Source,Gale Document Number
"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Monograph,Monograph,History and Geography I.,MDCCLXXVI. [1776]-89,Gale,"London, United Kingdom",Charles Burney,British Library,Eighteenth Century Collections Online,GALE|CW0103274182
"Proposals for publishing on the first of January next, elegantly printed on superfine paper, with a new letter, and ornamented with cuts, adapted to the subject, a work, entituled, the New-Jerusalem Magazine; Or, A treasury of celestial, spiritual, and natural, knowledge. By a Society of Gentlemen, members of the New Church",Monograph,Monograph,Literature and Language II.,[1789],"Gale, a Cengage Company","London, United Kingdom","Society of Gentlemen, Members of the New Church",British Library,Eighteenth Century Collections Online,GALE|CB0131100290
"Catalogue of a second thousand of new nebul? and clusters of stars; with a few introductory remarks on the construction of the heavens. By William Herschel, LL.D. F.R.S. From the Philosophical transactions",Monograph,Monograph,"Science, Technology, and Medicine I.",[1789],Gale,"Cambridge, MA, United States",William Herschel,"Houghton Library, Harvard University",Eighteenth Century Collections Online,GALE|CW0107504272
"Essays, civil, moral, literary and political, written after the manner of M. De Montagne; interspersed with characters, portraits, anecdotes, &c. by the celebrated Marquis D'Argenson, many years Prime Minister of France; and who was honoured with the particular intimacy of the late King of Prussia. Translated from his valuable manuscripts, and never before made public",Monograph,Monograph,Literature and Language I.,"M.DCC,LXXXIX. [1789]",Gale,"Oxford, United Kingdom",René-Louis de Voyer Argenson,"Bodleian Library, University of Oxford",Eighteenth Century Collections Online,GALE|CW0117218208
"A farewel sermon preached at Trinity-Church in Leeds, on Sunday the 5th of November, 1769. By James Scott, B. D. Fellow of Trinity-College, Cambridge",Monograph,Monograph,Social Sciences I.,[1789],Gale,"London, United Kingdom",James Scott,British Library,Eighteenth Century Collections Online,GALE|CW0105070630
An enquiry into the history of Scotland preceding the reign of Malcom III. or the year 1056. Including the authentic history of that period. In two volumes. By John Pinkerton. ...,Monograph,Monograph,History and Geography I.,1789,Gale,"London, United Kingdom",John Pinkerton,British Library,Eighteenth Century Collections Online,GALE|CW0101457987
"The history of the decline and fall of the Roman Empire. By Edward Gibbon, Esq. ...",Monograph,Monograph,History and Geography II.,1788-89,"Gale, a Cengage Company","Austin, TX, United States",Edward Gibbon,"Harry Ransom Center, University of Texas at Austin",Eighteenth Century Collections Online,GALE|CB0132791179
"Letters written by the late Right Honourable Philip Dormer Stanhope. Earl of Chesterfield, to his son, Philip Stanhope, Esq; late Envoy Extraordinary at the Court of Dresden. Together with several other pieces on various subjects. Published from the originals by Mrs. Eugenia Stanhiope. The tenth edition: in which are inserted, in their proper places, several letters that were wanting at the time of the first publication",Monograph,Monograph,Social Sciences II.,M.DCC.LXXXIX. [1789],"Gale, a Cengage Company","London, United Kingdom",Philip Dormer Stanhope,British Library,Eighteenth Century Collections Online,GALE|CB0128561919
Rules and regulations of the Hainault Foresters,Monograph,Monograph,Fine Arts I.,1789,Gale,"London, United Kingdom","Hainault Foresters (London, England)",British Library,Eighteenth Century Collections Online,GALE|CW0106285275
The letters of Junius. Complete in one volume. A new edition. With a copious index,Monograph,Monograph,Social Sciences I.,Printed in the year 1789,Gale,"London, United Kingdom",Junius,British Library,Eighteenth Century Collections Online,GALE|CW0103814847
